Date,Max Temperature,Min Temperature,Precipitation,Wind,Relative Humidity,Solar
1/1/1999,1.415,-1.45,0.08583073,3.99715403,0.82905142,2.90660724
1/2/1999,1.173,-1.301,0.20942696,3.21457241,0.88771696,1.40135616
1/3/1999,1.917,-0.437,0.72441138,2.831413,0.96453185,0.72090036
1/4/1999,2.154,0.376,0.72784396,3.17989188,0.96044254,0.85483062
1/5/1999,9.606,2.25,2.55432153,5.79469183,0.95672285,0.53729985
1/6/1999,10.347,6.141,1.417923,5.55811718,0.90788157,1.4699808
1/7/1999,8.263,4.938,nan,6.44987642,0.83224341,1.76883579
1/8/1999,4.51,1.344,2.4513272,3.19606594,0.81437192,2.17350036
1/9/1999,1.495,-2.926,3.53793977,2.25833519,0.96957082,1.23114349
1/10/1999,-0.816,-3.914,0.58021506,1.65900684,0.91205059,1.78846848
1/11/1999,-1.615,-4.712,3.8761132,5.71544082,0.92139342,1.67771313
1/12/1999,1.448,-1.554,7.9685195,5.30653182,0.96542227,0.99095634
1/13/1999,-0.699,-3.365,0.75531027,3.96662324,nan,3.10775661
1/14/1999,1.091,-3.553,0.89263853,3.46738121,0.96373995,1.37053087
1/15/1999,1.526,0.593,2.65045345,4.68367472,0.97081183,1.06278732
1/16/1999,3.067,0.697,1.294327,3.67646634,0.98822012,0.83638062
1/17/1999,4.625,0.782,0.13389585,3.29281417,0.9705525,3.73111659
1/18/1999,2.095,0.709,0.8548731,2.09580926,0.98279242,0.91231947
1/19/1999,3.069,1.18,0.88748978,1.75725292,0.9696206,1.18462482
1/20/1999,1.433,-0.236,0.78277561,2.9800059,0.95525754,1.3110183
1/21/1999,2.341,-0.651,0.29525757,2.77291802,0.96615924,1.83526948
1/22/1999,1.71,-0.222,1.32522602,2.85969783,0.97165066,0.95591287
1/23/1999,0.207,-2.151,0.97160403,2.4392499,0.93451576,2.12726296
1/24/1999,1.564,-0.044,nan,3.84784998,0.96913249,1.39871259
1/25/1999,5.07,1.507,2.0496366,5.78407315,0.96423107,0.97318125
1/26/1999,7.23,3.11,7.14111469,5.07554615,0.93944706,1.07566891
1/27/1999,2.956,0.28,0.63514738,2.54099003,0.95334501,1.44185608
1/28/1999,0.481,-3.239,1.75781289,3.0644107,0.9356985,2.59379982
1/29/1999,-3.74,-8.009,1.05400036,4.20151968,0.81772666,4.32377179
1/30/1999,-4.865,-10.437,1.6101836,2.6197775,0.87014923,2.69105814
1/31/1999,-7.538,-13.056,0.27122491,3.92657922,0.88119698,5.58759571
2/1/1999,-1.01,-7.194,2.15091716,3.75644999,0.95025581,0.96103144
2/2/1999,1.059,-0.871,4.30870032,3.75506207,0.99349365,1.22000623
2/3/1999,1.944,-0.002,5.22194004,5.30863837,0.98020716,0.89521855
2/4/1999,4.873,0.413,4.82368442,5.82276215,0.97615356,0.7009317
2/5/1999,3.952,0.105,8.42513954,8.27360746,0.92511058,2.83421239
2/6/1999,0.167,-4.493,5.38673032,6.39216287,0.93887264,nan
2/7/1999,-0.562,-6.207,1.75781303,2.48845632,0.93348745,nan
2/8/1999,-1.445,-5.32,1.56555216,3.37472769,0.96619113,3.43288188
2/9/1999,-0.523,-5.981,1.96723928,3.77187604,0.96811895,4.0517982
2/10/1999,-3.238,-8.048,0.57506565,1.52899908,0.96604658,5.714442
2/11/1999,-4.349,-9.449,0.66947946,3.77168534,0.95692093,4.29699528
2/12/1999,-4.735,-10.555,3.2375349,5.96830447,0.92659153,4.47007716
2/13/1999,-1.041,-4.654,4.13017423,5.80740781,0.97016628,4.9110732
2/14/1999,-1.473,-4.004,1.55696932,2.36929617,0.97946208,3.7871424
2/15/1999,-1.602,-3.974,1.21707892,3.32580984,0.97947733,3.91044168
2/16/1999,0.284,-4.348,6.39610322,5.38637758,0.9791207,2.0403
2/17/1999,0.289,-4.355,4.55588913,5.10961322,0.97612688,4.75858116
2/18/1999,-1.62,-4.138,1.08146703,2.84840634,0.97692084,5.42306916
2/19/1999,-0.426,-4.423,1.15013136,2.74579271,0.97761706,5.35409784
2/20/1999,0.389,-3.165,5.14984165,4.21247515,0.99084204,2.43112437
2/21/1999,0.525,0.062,2.85644556,3.59943258,0.99655325,3.28938516
2/22/1999,0.727,-0.916,7.73163188,4.18265288,0.99096356,2.11173759
2/23/1999,0.691,-0.46,2.51998866,3.62217508,0.98119209,5.92014339
2/24/1999,0.011,-2.581,3.67355448,6.19280074,0.95640261,4.48655832
2/25/1999,0.027,-2.336,6.33258648,6.51038351,0.96647301,3.98430342
2/26/1999,0.889,0.18,4.868316,5.23759153,0.99072057,2.7607491
2/27/1999,2.392,0.749,1.86424182,3.13670684,0.99679774,2.76598089
2/28/1999,4.451,0.449,1.39389001,3.30561958,0.98829829,2.94766758
3/1/1999,3.897,0.736,8.79592716,4.90093923,0.987163,2.6784567
3/2/1999,3.876,1.09,5.24597256,5.54008907,0.94435625,2.60493732
3/3/1999,7.161,-0.689,2.54745456,3.30446169,0.98569044,1.631475
3/4/1999,9.493,5.266,1.36127613,3.71207178,0.96631431,2.75169312
3/5/1999,11.026,5.602,3.56540389,4.34806351,0.96535847,2.64138669
3/6/1999,8.156,2.768,6.4373009,4.20500723,0.91582243,3.13306812
3/7/1999,5.458,0.83,0.65317213,3.33244911,0.9341794,5.42255932
3/8/1999,7.464,3.811,1.66854871,3.85294442,0.85334109,7.16388768
3/9/1999,6.689,-0.004,0.13732906,3.02596049,0.84480632,8.37618796
3/10/1999,6.473,2.043,0.64029767,1.87890082,0.85442379,5.95760724
