Date,Day of the week,"1-workday, 2-Saturday, 3-Sunday, >4-untypical",Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
19990101,5,4.01,334373,318479,301670,289710,284793,280110,270190,255077,250337,259755,272037,280740,289488,300618,301034,307059,357435,368794,366084,374817,371140,364431,357204,324412
19990102,6,2,291198,273548,265429,262653,269360,270500,269260,269426,275820,300511,318318,327422,332941,336642,330173,334102,392413,395658,390569,391088,386779,386387,372988,343187
19990103,7,3,306938,282878,276886,271708,272827,274741,270091,267639,271606,294578,317849,321378,330706,339180,333239,337051,394076,408904,414518,416406,417239,408170,382075,339393
19990104,1,1,294883,277334,271789,274635,291558,325116,388929,437426,442458,447635,452366,457695,462857,468046,467637,469767,505325,502200,493844,495071,482244,450890,419302,376298
19990105,2,1,336064,317153,311770,309110,320392,347949,409021,462052,461968,461526,457918,452728,452202,461461,451881,449935,497282,499959,488773,486985,468262,444116,415556,369999
19990106,3,1,328299,308802,301797,299685,308695,336562,398341,445546,438317,432804,426302,429629,420116,420528,417262,414545,471240,481714,471690,475449,464398,435570,408515,362052
19990107,4,1,322086,304000,296252,296774,306713,338088,399206,448387,446437,442655,445637,448071,452643,462561,467505,470086,504345,499944,489318,487460,471510,441071,412990,368914
19990108,5,1,329753,310504,301506,298076,308849,339180,399499,451004,442398,448192,449423,454135,454850,455678,455312,455414,493230,492555,482311,478501,461289,437674,414873,372307
19990109,6,2,333911,314620,303898,297477,303308,308701,331099,351889,367661,391101,409601,406762,404508,400975,392418,392055,435113,436549,431938,426705,411984,401582,384298,350778
19990110,7,3,315331,288870,276657,269419,270178,273309,271475,269149,277914,301041,315002,317675,323953,330536,322915,318365,375557,393664,398446,409025,409304,405505,386886,349493
19990111,1,1,315209,295373,286081,290410,305110,343900,417254,470771,483762,484574,497897,500182,502407,507779,503264,498933,534471,537999,522650,520437,499637,471220,440210,399331
19990112,2,1,357549,337595,330509,327512,342225,367374,423547,480099,489995,497576,507335,505076,500658,497249,488546,484842,524630,527600,515723,513395,497186,470154,440601,401196
19990113,3,1,362373,340598,333317,330677,344794,374946,437925,485246,487134,479091,480092,480301,473192,474156,466670,457923,510140,524696,515746,515260,496065,468937,439389,396893
19990114,4,1,356244,339337,333181,330165,342177,371453,430641,484991,489113,478309,477377,470862,469612,477090,486118,489984,524520,527738,515974,511350,491347,459938,431416,390276
19990115,5,1,350813,329336,322838,322164,335808,364172,424605,470332,477832,484058,495470,490296,491551,497649,485688,486169,521039,514551,500589,495052,477215,451159,428759,390768
19990116,6,2,350572,328977,315058,309974,315732,318720,334791,349533,366334,385722,398091,400836,398039,394248,378683,372016,427112,435759,429500,424238,410444,399747,385990,350775
19990117,7,3,316416,291514,278360,271416,272342,273544,272838,266269,276558,295950,309061,307651,306032,309832,304047,294006,342343,379941,386130,393690,393092,388132,368776,328894
19990118,1,1,293921,276262,272583,274682,288949,328759,396067,443922,452513,445952,453266,453227,449805,450311,441683,429206,474036,497918,490431,487804,472834,442194,412663,365942
19990119,2,1,331615,316431,310988,312213,321512,354511,417481,460993,463034,455731,452330,446097,440230,435576,428336,417466,468278,496704,488377,488286,470543,444464,415330,376625
19990120,3,1,340037,322043,317085,315435,325908,357971,420345,467722,474173,470760,464515,463392,457797,450941,442928,427482,470228,503714,494702,494633,478609,446642,420289,377754
19990121,4,1,340449,326311,320681,317380,329316,358435,421027,464668,469650,468154,464284,456506,451503,445865,441980,423010,465917,501982,490772,488941,475071,445867,420566,378540
19990122,5,1,339997,322524,317158,317543,330331,359428,418250,463959,469832,466650,475114,479288,482644,487850,480709,472954,499510,510029,493918,488563,471296,442578,423480,382518
19990123,6,2,343624,326344,317640,313092,315554,321994,337436,349353,366984,390890,405249,408351,404188,391064,378755,368934,402678,429045,421132,418471,405495,391941,373681,346480
19990124,7,3,312064,290891,281282,274912,274862,277952,278336,273193,283316,298818,313739,318505,317381,318340,313081,304086,341215,386880,392418,397154,398724,392985,375119,340058
19990125,1,1,301865,286745,283042,283507,299710,336042,394624,434259,456809,462480,476006,478668,477682,474878,464234,453229,484051,500338,489698,484899,464684,439810,415649,377463
19990126,2,1,336309,317959,312944,311662,321798,346714,400272,441386,458272,461993,476494,472008,468184,466642,451449,429913,464056,489919,481327,479534,460092,436420,412382,380733
19990127,3,1,342080,321207,312564,312161,318212,346229,405700,441556,456238,466829,472799,472030,464549,458312,454968,445392,471591,494877,486641,483238,466364,442848,417754,377618
19990128,4,1,341521,322262,315619,314044,325816,354018,407016,440221,459349,470253,475067,472571,463209,462323,456125,455514,474570,499055,489608,486281,475676,452245,430864,393356
19990129,5,1,353720,336015,327260,324098,335971,361451,408057,444572,464244,466280,474202,473620,472106,473773,461879,447977,475608,513477,500532,499441,481344,460466,441749,402593
19990130,6,2,367151,348142,336962,333485,337167,342028,358036,364844,383055,399797,412776,411063,410359,405357,397121,383621,406814,452486,455303,452586,443429,431648,412983,377899
19990131,7,3,347307,327798,317796,313494,316812,318495,316040,310893,328786,348881,363259,364944,369045,376544,374369,366054,391665,432661,437345,442435,442379,434521,419897,383961
19990201,1,1,350104,334352,326446,326908,339415,377432,437668,471345,490759,505229,519157,521458,518583,517917,508511,483212,496986,530244,522159,516508,500086,476601,449544,412484
19990202,2,1,375530,354937,347080,346015,358719,384194,432623,462840,480924,489689,499953,498225,495180,495573,487495,470961,490262,515522,505685,502670,485246,460734,438782,400613
19990203,3,1,364088,345841,338787,336672,348016,374399,424092,460002,480801,495557,509436,513736,511716,507955,496201,473824,493505,515329,502571,498122,477045,457628,438387,400132
19990204,4,1,362745,342031,331490,329975,340846,368153,416964,443424,466932,476904,488035,491605,495310,501862,491801,472147,487431,503638,489980,488870,469566,448257,426936,389778
19990205,5,1,353455,332525,325211,325170,336541,361489,410418,433961,454172,463557,470817,479405,472099,475289,473812,451461,462375,499402,491755,491013,474486,449824,433348,393554
19990206,6,2,356264,337441,325424,320831,329159,331984,341316,347104,370493,398083,409087,411976,411336,401595,387288,364998,379373,437259,445984,433604,424806,412214,401720,370369
19990207,7,3,337630,313161,300746,294601,295070,298892,291950,282954,299813,317307,329298,331190,344477,355178,354492,342141,356242,421771,440116,447118,446243,436673,417738,383398
19990208,1,1,335849,318715,311801,310189,324908,360124,428506,465328,482938,486287,492743,486507,481056,483681,477681,461279,472079,518636,519316,519341,502959,473711,450477,408904
19990209,2,1,368949,351848,347645,348625,361846,386941,444148,480860,495033,488557,495181,491757,483376,485605,469721,453847,472040,519900,513245,511687,493928,466533,437463,395036
19990210,3,1,362461,345934,340745,339519,350238,379225,437707,478832,492480,490506,492385,486994,457058,476551,466801,446286,456229,516922,528951,531356,512734,488184,471093,424236
19990211,4,1,377874,366918,361690,359437,372138,402324,457929,492646,507356,507665,505230,501047,500362,488474,481010,457138,465259,530176,523984,519341,506570,486131,463324,422957
19990212,5,1,384764,360542,355935,356020,368746,396323,454225,489665,504836,503317,502894,500813,496597,498841,488638,471500,483324,530736,522692,523424,508703,490372,471593,429984
19990213,6,2,380515,359049,349286,347320,354372,357143,361925,371737,398590,418626,431723,429910,425442,417824,403818,388740,401433,446947,451743,446055,434314,420453,407734,372904
19990214,7,3,339982,320720,308326,301985,301554,305762,302288,294116,311869,333367,347986,349854,355571,360257,350508,335437,343675,402439,415640,425251,425278,415750,400829,364219
19990215,1,1,330166,311856,305627,305763,321036,359402,423214,469957,494629,491201,496405,494159,496214,499881,495762,473345,467220,511947,521650,520241,503820,477308,451308,414619
19990216,2,1,376989,351416,344055,344078,355240,383737,438158,485076,503935,506094,510727,510505,511545,513496,509894,489339,489224,525605,525597,523414,502149,479134,455234,412841
19990217,3,1,379206,360516,353785,352373,362876,390287,443297,485243,502175,504561,505695,507039,509585,506191,489397,463466,461107,509081,522705,522631,501272,475255,450316,405621
19990218,4,1,369778,355268,350464,357148,369251,393884,446237,480080,492165,510063,499098,490307,487282,481351,472225,453365,454298,498706,512709,515260,497559,476720,445617,403015
19990219,5,1,361514,343384,342106,343542,354765,381566,427431,461136,479392,481930,481825,474340,463575,464170,456464,435089,444466,485065,496365,495553,476784,454602,434674,395566
19990220,6,2,372613,350801,342180,339905,342421,346065,348587,356672,384754,404794,419277,424239,420214,397076,387554,372831,381825,419610,437498,436819,420531,408185,391854,357960
19990221,7,3,323014,305467,302828,287601,284401,289103,277260,274999,295917,315154,331570,335611,339633,346433,338188,318857,317789,368969,399570,410759,404100,402939,386608,346016
19990222,1,1,312590,296995,295285,290697,305598,343800,402099,441238,460851,465179,473956,472859,469878,469485,464280,436407,433443,476186,496915,497887,480063,451173,426609,384074
19990223,2,1,347580,331228,328548,328374,341605,367090,414068,442826,469041,473849,478389,473835,471560,478118,462954,448412,456346,489291,501772,500586,483056,456817,428950,384492
19990224,3,1,351885,335713,330710,332068,343973,370107,419878,455882,473732,474721,478774,480506,477246,475564,471281,446595,442103,483526,504914,505476,485579,457441,432937,390137
19990225,4,1,353610,338887,333687,335054,346686,375164,420437,454845,477211,478572,475867,472073,467403,466082,454125,432308,424065,467956,498045,499446,485192,455354,438162,403236
19990226,5,1,363955,346619,341885,338211,349739,380896,424108,458648,476050,482870,482648,481016,482608,476938,476074,459690,454187,483767,493121,499775,484151,459713,436750,395657
19990227,6,2,352559,334615,323131,317685,320795,317853,318501,330813,358560,381325,397664,392845,389219,371376,350537,331346,332326,369189,415463,417022,404411,390689,375715,343151
