Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Wind,Relative Humidity,Solar
01.01.1999,21.25,52.2983016968,94,1.415,-1.45,0.085830732,3.9971540309,0.8290514283,2.90660724
02.01.1999,21.25,52.2983016968,94,1.173,-1.301,0.2094269688,3.2145724111,0.8877169668,1.40135616
03.01.1999,21.25,52.2983016968,94,1.917,-0.437,0.7244113824,2.831413001,0.9645318545,0.72090036
04.01.1999,21.25,52.2983016968,94,2.154,0.376,0.727843968,3.1798918828,0.9604425421,0.85483062
05.01.1999,21.25,52.2983016968,94,9.606,2.25,2.554321536,5.7946918384,0.9567228533,0.537299856
06.01.1999,21.25,52.2983016968,94,10.347,6.141,1.417923,5.5581171843,0.9078815764,1.4699808
07.01.1999,21.25,52.2983016968,94,8.263,4.938,2.32429788,6.4498764261,0.8322434104,1.76883579
08.01.1999,21.25,52.2983016968,94,4.51,1.344,2.4513272064,3.1960659463,0.8143719202,2.17350036
09.01.1999,21.25,52.2983016968,94,1.495,-2.926,3.5379397728,2.2583351903,0.9695708265,1.231143498
10.01.1999,21.25,52.2983016968,94,-0.816,-3.914,0.58021506,1.6590068416,0.9120505968,1.78846848
11.01.1999,21.25,52.2983016968,94,-1.615,-4.712,3.8761132032,5.7154408272,0.9213934285,1.67771313
12.01.1999,21.25,52.2983016968,94,1.448,-1.554,7.968519504,5.3065318288,0.9654222755,0.99095634
13.01.1999,21.25,52.2983016968,94,-0.699,-3.365,0.755310276,3.9666232493,0.9176673656,3.10775661
14.01.1999,21.25,52.2983016968,94,1.091,-3.553,0.8926385328,3.4673812179,0.9637399507,1.370530872
15.01.1999,21.25,52.2983016968,94,1.526,0.593,2.650453452,4.6836747277,0.970811835,1.06278732
16.01.1999,21.25,52.2983016968,94,3.067,0.697,1.294327008,3.6764663407,0.9882201246,0.83638062
17.01.1999,21.25,52.2983016968,94,4.625,0.782,0.1338958584,3.2928141794,0.9705525081,3.73111659
18.01.1999,21.25,52.2983016968,94,2.095,0.709,0.8548731,2.0958092689,0.9827924265,0.91231947
19.01.1999,21.25,52.2983016968,94,3.069,1.18,0.887489784,1.7572529217,0.9696206024,1.18462482
20.01.1999,21.25,52.2983016968,94,1.433,-0.236,0.782775612,2.9800059038,0.9552575426,1.3110183
21.01.1999,21.25,52.2983016968,94,2.341,-0.651,0.2952575784,2.7729180267,0.9661592444,1.835269488
22.01.1999,21.25,52.2983016968,94,1.71,-0.222,1.325226024,2.8596978326,0.9716506655,0.955912878
23.01.1999,21.25,52.2983016968,94,0.207,-2.151,0.971604036,2.4392499054,0.9345157629,2.127262968
24.01.1999,21.25,52.2983016968,94,1.564,-0.044,1.126098828,3.8478499889,0.9691324998,1.39871259
25.01.1999,21.25,52.2983016968,94,5.07,1.507,2.0496366,5.784073154,0.964231079,0.97318125
26.01.1999,21.25,52.2983016968,94,7.23,3.11,7.1411146992,5.0755461576,0.939447069,1.075668912
27.01.1999,21.25,52.2983016968,94,2.956,0.28,0.635147388,2.5409900339,0.9533450128,1.441856088
28.01.1999,21.25,52.2983016968,94,0.481,-3.239,1.757812896,3.0644107091,0.9356985075,2.59379982
29.01.1999,21.25,52.2983016968,94,-3.74,-8.009,1.054000368,4.201519684,0.8177266654,4.323771792
30.01.1999,21.25,52.2983016968,94,-4.865,-10.437,1.6101836064,2.6197775057,0.8701492305,2.69105814
31.01.1999,21.25,52.2983016968,94,-7.538,-13.056,0.2712249144,3.9265792256,0.8811969896,5.587595712
01.02.1999,21.25,52.2983016968,94,-1.01,-7.194,2.150917164,3.7564499981,0.9502558141,0.961031448
02.02.1999,21.25,52.2983016968,94,1.059,-0.871,4.30870032,3.7550620725,0.9934936521,1.220006232
03.02.1999,21.25,52.2983016968,94,1.944,-0.002,5.22194004,5.3086383783,0.9802071678,0.895218552
04.02.1999,21.25,52.2983016968,94,4.873,0.413,4.823684424,5.8227621542,0.9761535639,0.7009317
05.02.1999,21.25,52.2983016968,94,3.952,0.105,8.425139544,8.273607469,0.9251105865,2.834212392
06.02.1999,21.25,52.2983016968,94,0.167,-4.493,5.386730328,6.3921628741,0.9388726412,2.851199712
07.02.1999,21.25,52.2983016968,94,-0.562,-6.207,1.7578130328,2.4884563264,0.93348745,5.08460616
08.02.1999,21.25,52.2983016968,94,-1.445,-5.32,1.56555216,3.374727697,0.9661911325,3.43288188
09.02.1999,21.25,52.2983016968,94,-0.523,-5.981,1.9672392888,3.7718760496,0.9681189591,4.0517982
